(sid2) [ir967@gr046 Learning-to-See-in-the-Dark]$ vi CNN9_FC3_exposure_101GB.py
(sid2) [ir967@gr046 Learning-to-See-in-the-Dark]$ python CNN9_FC3_exposure_101GB.py




Current date and time : 
2020-12-13 17:23:16
./dataset/Sony/short/00133_07_0.1s.ARW 133 0.1
./dataset/Sony/short/00015_09_0.1s.ARW 15 0.1
./dataset/Sony/short/00190_08_0.04s.ARW 190 0.04
./dataset/Sony/short/00204_01_0.033s.ARW 204 0.033
./dataset/Sony/short/00047_03_0.1s.ARW 47 0.1
./dataset/Sony/short/00049_07_0.1s.ARW 49 0.1
./dataset/Sony/short/00231_00_0.033s.ARW 231 0.033
Found 1865 images to train with

Training on files with indices: 466 to 1798
Training on 1332 images only

2020-12-13 17:23:16.758286: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
2020-12-13 17:23:16.926979: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: Quadro RTX 8000 major: 7 minor: 5 memoryClockRate(GHz): 1.62
pciBusID: 0000:06:00.0
totalMemory: 44.49GiB freeMemory: 44.33GiB
2020-12-13 17:23:16.927012: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2020-12-13 17:23:17.216217: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-13 17:23:17.216255: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2020-12-13 17:23:17.216272: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2020-12-13 17:23:17.216438: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 43038 MB memory) -> physical GPU (device: 0, name: Quadro RTX 8000, pci bus id: 0000:06:00.0, compute capability: 7.5)
No checkpoint found at ./gt_Sony_CNN9_FC3_exposure_101GB/. Hence, will create the folder.

last epoch of previous run: 0


BATCH_SIZE= 16 ,final_epoch= 4001 ,no_of_batches= 83 ,ps 128 ,result_dir= ./gt_Sony_CNN9_FC3_exposure_101GB/ ,len(train_fns)= 1332

Cleared all images in memory.

Starting Training on index [ 691  913  400  856  153   42  404  148  164  634 1317  262 1069 1273
  572  962]
dataset index: ['./dataset/Sony/short/00062_06_0.1s.ARW'
 './dataset/Sony/short/00062_01_0.1s.ARW'
 './dataset/Sony/short/00183_04_0.04s.ARW'
 './dataset/Sony/short/00013_04_0.1s.ARW'
 './dataset/Sony/short/00168_07_0.1s.ARW'
 './dataset/Sony/short/00171_08_0.1s.ARW'
 './dataset/Sony/short/00056_01_0.1s.ARW'
 './dataset/Sony/short/00221_01_0.033s.ARW'
 './dataset/Sony/short/00114_01_0.1s.ARW'
 './dataset/Sony/short/00216_04_0.04s.ARW'
 './dataset/Sony/short/00014_02_0.1s.ARW'
 './dataset/Sony/short/00086_05_0.1s.ARW'
 './dataset/Sony/short/00028_01_0.04s.ARW'
 './dataset/Sony/short/00209_03_0.04s.ARW'
 './dataset/Sony/short/00083_00_0.1s.ARW'
 './dataset/Sony/short/00225_07_0.04s.ARW']
Starting Training on exposures [0.1   0.1   0.04  0.1   0.1   0.1   0.1   0.033 0.1   0.04  0.1   0.1
 0.04  0.04  0.1   0.04 ]
Epoch 0: at batch 1: Training dataset Loss=0.991793, Batch Time=1.648
Epoch 0: at batch 1: Training dataset Loss=0.991793, Batch Time=1.648; Early rounds
Epoch 0: at batch 2: Training dataset Loss=0.982199, Batch Time=0.033; Early rounds
Epoch 0: at batch 3: Training dataset Loss=0.971201, Batch Time=0.035; Early rounds
Epoch 0: at batch 4: Training dataset Loss=0.958902, Batch Time=0.029; Early rounds
Epoch 0: at batch 5: Training dataset Loss=0.950943, Batch Time=0.029; Early rounds
Epoch 0: at batch 6: Training dataset Loss=0.943620, Batch Time=0.031; Early rounds
Epoch 0: at batch 7: Training dataset Loss=0.934905, Batch Time=0.034; Early rounds
Epoch 0: at batch 8: Training dataset Loss=0.926484, Batch Time=0.035; Early rounds
Epoch 0: at batch 9: Training dataset Loss=0.916440, Batch Time=0.030; Early rounds
Epoch 0: at batch 10: Training dataset Loss=0.909298, Batch Time=0.033; Early rounds
Epoch 0: at batch 11: Training dataset Loss=0.901550, Batch Time=0.032; Early rounds
Epoch 0: at batch 12: Training dataset Loss=0.900404, Batch Time=0.033; Early rounds
Epoch 0: at batch 13: Training dataset Loss=0.894434, Batch Time=0.034; Early rounds
Epoch 0: at batch 14: Training dataset Loss=0.887458, Batch Time=0.035; Early rounds
Epoch 0: at batch 15: Training dataset Loss=0.883258, Batch Time=0.030; Early rounds
Epoch 0: at batch 16: Training dataset Loss=0.876107, Batch Time=0.031; Early rounds
Epoch 0: at batch 17: Training dataset Loss=0.871208, Batch Time=0.030; Early rounds
Epoch 0: at batch 18: Training dataset Loss=0.863594, Batch Time=0.029; Early rounds
loading ./dataset/Sony/short/00058_02_0.1s.ARW; images_in_memory= 264
rawpy read the 601th file at location: 00058_02_0.1s.ARW
Epoch 0: at batch 19: Training dataset Loss=0.856738, Batch Time=0.031; Early rounds
Epoch 0: at batch 20: Training dataset Loss=0.850040, Batch Time=0.029; Early rounds
Epoch 0: at batch 21: Training dataset Loss=0.845466, Batch Time=0.031; Early rounds
Epoch 0: at batch 22: Training dataset Loss=0.840131, Batch Time=0.033; Early rounds
Epoch 0: at batch 23: Training dataset Loss=0.834159, Batch Time=0.036; Early rounds
Epoch 0: at batch 24: Training dataset Loss=0.828471, Batch Time=0.032; Early rounds
Epoch 0: at batch 25: Training dataset Loss=0.824749, Batch Time=0.029; Early rounds
Epoch 0: at batch 26: Training dataset Loss=0.817659, Batch Time=0.030; Early rounds
Found in memory: ./dataset/Sony/short/00058_02_0.1s.ARW; images_in_memory= 362
Epoch 0: at batch 27: Training dataset Loss=0.812085, Batch Time=0.029; Early rounds
Epoch 0: at batch 28: Training dataset Loss=0.808357, Batch Time=0.032; Early rounds
Epoch 0: at batch 29: Training dataset Loss=0.805167, Batch Time=0.033; Early rounds
Epoch 0: at batch 30: Training dataset Loss=0.801414, Batch Time=0.032; Early rounds
Epoch 0: at batch 31: Training dataset Loss=0.792649, Batch Time=0.030; Early rounds
Epoch 0: at batch 32: Training dataset Loss=0.787197, Batch Time=0.028; Early rounds
Epoch 0: at batch 33: Training dataset Loss=0.781320, Batch Time=0.028; Early rounds
Epoch 0: at batch 34: Training dataset Loss=0.777587, Batch Time=0.031; Early rounds
Epoch 0: at batch 35: Training dataset Loss=0.769409, Batch Time=0.032; Early rounds
Epoch 0: at batch 36: Training dataset Loss=0.761502, Batch Time=0.032; Early rounds
Epoch 0: at batch 37: Training dataset Loss=0.755837, Batch Time=0.031; Early rounds
Epoch 0: at batch 38: Training dataset Loss=0.751717, Batch Time=0.033; Early rounds
Epoch 0: at batch 39: Training dataset Loss=0.747882, Batch Time=0.032; Early rounds
Epoch 0: at batch 40: Training dataset Loss=0.743354, Batch Time=0.027; Early rounds
